frame,gt_count,tp,fp,fn,id_sw,action_taken
576,17,11,13,6,0,0
577,17,10,14,7,0,0
578,16,11,13,5,0,0
579,15,10,14,5,0,0
580,15,10,14,5,0,0
581,16,12,12,4,0,0
582,16,11,13,5,0,0
583,16,11,13,5,0,0
584,18,13,12,5,0,0
585,18,13,12,5,0,0
586,18,13,12,5,0,0
587,17,13,12,4,0,0
588,15,12,13,3,0,0
589,16,11,14,5,0,0
590,16,11,14,5,0,3
591,16,11,14,5,0,3
592,17,12,13,5,0,2
593,17,12,14,5,0,0
594,16,12,14,4,0,0
595,16,12,14,4,0,0
596,16,12,14,4,0,0
597,17,12,14,5,0,0
598,18,12,14,6,0,2
599,18,12,14,6,0,0
600,19,12,14,7,0,0
