frame,gt_count,tp,fp,fn,id_sw,action_taken
530,17,17,10,0,0,0
531,17,17,11,0,0,0
532,17,17,11,0,0,3
533,18,17,12,1,0,0
534,19,19,10,0,1,0
535,19,19,10,0,0,3
536,19,19,9,0,1,0
537,19,19,9,0,0,0
538,18,18,10,0,0,0
539,20,20,8,0,0,3
540,19,19,10,0,0,0
541,19,19,10,0,0,0
542,20,20,9,0,0,3
543,20,20,9,0,0,0
544,20,20,9,0,0,0
545,20,20,9,0,0,3
546,21,21,8,0,0,0
547,21,21,9,0,0,0
548,21,21,9,0,0,0
549,21,21,9,0,0,3
550,20,20,10,0,0,0
551,19,19,10,0,1,0
552,19,19,10,0,0,3
553,19,19,10,0,0,0
554,19,19,10,0,0,0
555,19,19,10,0,0,3
556,20,20,9,0,0,0
557,20,20,9,0,0,0
558,20,20,9,0,0,0
559,20,20,9,0,0,0
560,20,20,9,0,0,0
561,20,19,10,1,0,0
562,20,19,10,1,0,0
563,20,19,10,1,0,0
564,20,19,10,1,0,0
565,19,19,10,0,0,0
566,18,18,11,0,0,0
567,18,18,10,0,1,0
568,18,18,10,0,0,0
569,18,18,10,0,0,0
570,17,17,11,0,0,3
571,17,17,11,0,0,0
572,17,17,9,0,2,0
573,17,17,8,0,1,3
574,17,17,8,0,0,0
575,17,17,8,0,0,0
576,17,17,8,0,0,3
577,17,17,8,0,0,0
578,16,16,9,0,0,0
579,15,15,10,0,0,3
580,15,15,11,0,0,0
581,16,16,10,0,0,0
582,16,16,10,0,0,0
583,16,16,10,0,0,0
584,18,18,9,0,0,0
585,18,18,9,0,0,0
586,18,18,9,0,0,0
587,17,17,12,0,0,0
588,15,15,14,0,0,0
589,16,16,13,0,0,3
590,16,16,14,0,0,0
591,16,16,14,0,0,0
592,17,17,13,0,0,2
593,17,17,13,0,0,3
594,16,16,14,0,0,0
595,16,16,14,0,0,0
596,16,16,13,0,1,0
597,17,17,12,0,0,0
598,18,18,11,0,0,3
599,18,17,12,1,0,0
600,19,0,0,19,0,0
